ID,X,Y,Layer,Direction
0,476,50,0,0
1,477,50,0,0
2,478,50,0,0
3,479,50,0,0
4,480,50,0,0
5,481,50,0,0
6,482,50,0,0
7,483,50,0,0
8,484,50,0,0
9,485,50,0,0
10,486,50,0,0
11,487,50,0,0
12,488,50,0,0
13,489,50,0,0
14,490,50,0,0
15,491,50,0,0
16,492,50,0,0
17,493,50,0,0
18,494,50,0,0
19,495,50,0,0
20,496,50,0,0
21,497,50,0,0
22,498,50,0,0
23,499,50,0,0
24,500,50,0,0
25,501,50,0,0
26,502,50,0,0
27,503,50,0,0
28,504,50,0,0
29,505,50,0,0
30,506,50,0,0
31,507,50,0,0
32,508,50,0,0
33,509,50,0,0
34,510,50,0,0
35,511,50,0,0
36,512,50,0,0
37,513,50,0,0
38,514,50,0,0
39,515,50,0,0
40,516,50,0,0
41,517,50,0,0
42,518,50,0,0
43,519,50,0,0
44,520,50,0,0
45,521,50,0,0
46,522,50,0,0
47,523,50,0,0
48,524,50,0,0
49,525,50,0,0
50,476,150,0,0
51,477,150,0,0
52,478,150,0,0
53,479,150,0,0
54,480,150,0,0
55,481,150,0,0
56,482,150,0,0
57,483,150,0,0
58,484,150,0,0
59,485,150,0,0
60,486,150,0,0
61,487,150,0,0
62,488,150,0,0
63,489,150,0,0
64,490,150,0,0
65,491,150,0,0
66,492,150,0,0
67,493,150,0,0
68,494,150,0,0
69,495,150,0,0
70,496,150,0,0
71,497,150,0,0
72,498,150,0,0
73,499,150,0,0
74,500,150,0,0
75,501,150,0,0
76,502,150,0,0
77,503,150,0,0
78,504,150,0,0
79,505,150,0,0
80,506,150,0,0
81,507,150,0,0
82,508,150,0,0
83,509,150,0,0
84,510,150,0,0
85,511,150,0,0
86,512,150,0,0
87,513,150,0,0
88,514,150,0,0
89,515,150,0,0
90,516,150,0,0
91,517,150,0,0
92,518,150,0,0
93,519,150,0,0
94,520,150,0,0
95,521,150,0,0
96,522,150,0,0
97,523,150,0,0
98,524,150,0,0
99,525,150,0,0
100,476,250,0,0
101,477,250,0,0
102,478,250,0,0
103,479,250,0,0
104,480,250,0,0
105,481,250,0,0
106,482,250,0,0
107,483,250,0,0
108,484,250,0,0
109,485,250,0,0
110,486,250,0,0
111,487,250,0,0
112,488,250,0,0
113,489,250,0,0
114,490,250,0,0
115,491,250,0,0
116,492,250,0,0
117,493,250,0,0
118,494,250,0,0
119,495,250,0,0
120,496,250,0,0
121,497,250,0,0
122,498,250,0,0
123,499,250,0,0
124,500,250,0,0
125,501,250,0,0
126,502,250,0,0
127,503,250,0,0
128,504,250,0,0
129,505,250,0,0
130,506,250,0,0
131,507,250,0,0
132,508,250,0,0
133,509,250,0,0
134,510,250,0,0
135,511,250,0,0
136,512,250,0,0
137,513,250,0,0
138,514,250,0,0
139,515,250,0,0
140,516,250,0,0
141,517,250,0,0
142,518,250,0,0
143,519,250,0,0
144,520,250,0,0
145,521,250,0,0
146,522,250,0,0
147,523,250,0,0
148,524,250,0,0
149,525,250,0,0
150,476,350,0,0
151,477,350,0,0
152,478,350,0,0
153,479,350,0,0
154,480,350,0,0
155,481,350,0,0
156,482,350,0,0
157,483,350,0,0
158,484,350,0,0
159,485,350,0,0
160,486,350,0,0
161,487,350,0,0
162,488,350,0,0
163,489,350,0,0
164,490,350,0,0
165,491,350,0,0
166,492,350,0,0
167,493,350,0,0
168,494,350,0,0
169,495,350,0,0
170,496,350,0,0
171,497,350,0,0
172,498,350,0,0
173,499,350,0,0
174,500,350,0,0
175,501,350,0,0
176,502,350,0,0
177,503,350,0,0
178,504,350,0,0
179,505,350,0,0
180,506,350,0,0
181,507,350,0,0
182,508,350,0,0
183,509,350,0,0
184,510,350,0,0
185,511,350,0,0
186,512,350,0,0
187,513,350,0,0
188,514,350,0,0
189,515,350,0,0
190,516,350,0,0
191,517,350,0,0
192,518,350,0,0
193,519,350,0,0
194,520,350,0,0
195,521,350,0,0
196,522,350,0,0
197,523,350,0,0
198,524,350,0,0
199,525,350,0,0
200,476,450,0,0
201,477,450,0,0
202,478,450,0,0
203,479,450,0,0
204,480,450,0,0
205,481,450,0,0
206,482,450,0,0
207,483,450,0,0
208,484,450,0,0
209,485,450,0,0
210,486,450,0,0
211,487,450,0,0
212,488,450,0,0
213,489,450,0,0
214,490,450,0,0
215,491,450,0,0
216,492,450,0,0
217,493,450,0,0
218,494,450,0,0
219,495,450,0,0
220,496,450,0,0
221,497,450,0,0
222,498,450,0,0
223,499,450,0,0
224,500,450,0,0
225,501,450,0,0
226,502,450,0,0
227,503,450,0,0
228,504,450,0,0
229,505,450,0,0
230,506,450,0,0
231,507,450,0,0
232,508,450,0,0
233,509,450,0,0
234,510,450,0,0
235,511,450,0,0
236,512,450,0,0
237,513,450,0,0
238,514,450,0,0
239,515,450,0,0
240,516,450,0,0
241,517,450,0,0
242,518,450,0,0
243,519,450,0,0
244,520,450,0,0
245,521,450,0,0
246,522,450,0,0
247,523,450,0,0
248,524,450,0,0
249,525,450,0,0
250,476,550,0,0
251,477,550,0,0
252,478,550,0,0
253,479,550,0,0
254,480,550,0,0
255,481,550,0,0
256,482,550,0,0
257,483,550,0,0
258,484,550,0,0
259,485,550,0,0
260,486,550,0,0
261,487,550,0,0
262,488,550,0,0
263,489,550,0,0
264,490,550,0,0
265,491,550,0,0
266,492,550,0,0
267,493,550,0,0
268,494,550,0,0
269,495,550,0,0
270,496,550,0,0
271,497,550,0,0
272,498,550,0,0
273,499,550,0,0
274,500,550,0,0
275,501,550,0,0
276,502,550,0,0
277,503,550,0,0
278,504,550,0,0
279,505,550,0,0
280,506,550,0,0
281,507,550,0,0
282,508,550,0,0
283,509,550,0,0
284,510,550,0,0
285,511,550,0,0
286,512,550,0,0
287,513,550,0,0
288,514,550,0,0
289,515,550,0,0
290,516,550,0,0
291,517,550,0,0
292,518,550,0,0
293,519,550,0,0
294,520,550,0,0
295,521,550,0,0
296,522,550,0,0
297,523,550,0,0
298,524,550,0,0
299,525,550,0,0
300,476,650,0,0
301,477,650,0,0
302,478,650,0,0
303,479,650,0,0
304,480,650,0,0
305,481,650,0,0
306,482,650,0,0
307,483,650,0,0
308,484,650,0,0
309,485,650,0,0
310,486,650,0,0
311,487,650,0,0
312,488,650,0,0
313,489,650,0,0
314,490,650,0,0
315,491,650,0,0
316,492,650,0,0
317,493,650,0,0
318,494,650,0,0
319,495,650,0,0
320,496,650,0,0
321,497,650,0,0
322,498,650,0,0
323,499,650,0,0
324,500,650,0,0
325,501,650,0,0
326,502,650,0,0
327,503,650,0,0
328,504,650,0,0
329,505,650,0,0
330,506,650,0,0
331,507,650,0,0
332,508,650,0,0
333,509,650,0,0
334,510,650,0,0
335,511,650,0,0
336,512,650,0,0
337,513,650,0,0
338,514,650,0,0
339,515,650,0,0
340,516,650,0,0
341,517,650,0,0
342,518,650,0,0
343,519,650,0,0
344,520,650,0,0
345,521,650,0,0
346,522,650,0,0
347,523,650,0,0
348,524,650,0,0
349,525,650,0,0
350,476,750,0,0
351,477,750,0,0
352,478,750,0,0
353,479,750,0,0
354,480,750,0,0
355,481,750,0,0
356,482,750,0,0
357,483,750,0,0
358,484,750,0,0
359,485,750,0,0
360,486,750,0,0
361,487,750,0,0
362,488,750,0,0
363,489,750,0,0
364,490,750,0,0
365,491,750,0,0
366,492,750,0,0
367,493,750,0,0
368,494,750,0,0
369,495,750,0,0
370,496,750,0,0
371,497,750,0,0
372,498,750,0,0
373,499,750,0,0
374,500,750,0,0
375,501,750,0,0
376,502,750,0,0
377,503,750,0,0
378,504,750,0,0
379,505,750,0,0
380,506,750,0,0
381,507,750,0,0
382,508,750,0,0
383,509,750,0,0
384,510,750,0,0
385,511,750,0,0
386,512,750,0,0
387,513,750,0,0
388,514,750,0,0
389,515,750,0,0
390,516,750,0,0
391,517,750,0,0
392,518,750,0,0
393,519,750,0,0
394,520,750,0,0
395,521,750,0,0
396,522,750,0,0
397,523,750,0,0
398,524,750,0,0
399,525,750,0,0
400,476,850,0,0
401,477,850,0,0
402,478,850,0,0
403,479,850,0,0
404,480,850,0,0
405,481,850,0,0
406,482,850,0,0
407,483,850,0,0
408,484,850,0,0
409,485,850,0,0
410,486,850,0,0
411,487,850,0,0
412,488,850,0,0
413,489,850,0,0
414,490,850,0,0
415,491,850,0,0
416,492,850,0,0
417,493,850,0,0
418,494,850,0,0
419,495,850,0,0
420,496,850,0,0
421,497,850,0,0
422,498,850,0,0
423,499,850,0,0
424,500,850,0,0
425,501,850,0,0
426,502,850,0,0
427,503,850,0,0
428,504,850,0,0
429,505,850,0,0
430,506,850,0,0
431,507,850,0,0
432,508,850,0,0
433,509,850,0,0
434,510,850,0,0
435,511,850,0,0
436,512,850,0,0
437,513,850,0,0
438,514,850,0,0
439,515,850,0,0
440,516,850,0,0
441,517,850,0,0
442,518,850,0,0
443,519,850,0,0
444,520,850,0,0
445,521,850,0,0
446,522,850,0,0
447,523,850,0,0
448,524,850,0,0
449,525,850,0,0
450,476,950,0,0
451,477,950,0,0
452,478,950,0,0
453,479,950,0,0
454,480,950,0,0
455,481,950,0,0
456,482,950,0,0
457,483,950,0,0
458,484,950,0,0
459,485,950,0,0
460,486,950,0,0
461,487,950,0,0
462,488,950,0,0
463,489,950,0,0
464,490,950,0,0
465,491,950,0,0
466,492,950,0,0
467,493,950,0,0
468,494,950,0,0
469,495,950,0,0
470,496,950,0,0
471,497,950,0,0
472,498,950,0,0
473,499,950,0,0
474,500,950,0,0
475,501,950,0,0
476,502,950,0,0
477,503,950,0,0
478,504,950,0,0
479,505,950,0,0
480,506,950,0,0
481,507,950,0,0
482,508,950,0,0
483,509,950,0,0
484,510,950,0,0
485,511,950,0,0
486,512,950,0,0
487,513,950,0,0
488,514,950,0,0
489,515,950,0,0
490,516,950,0,0
491,517,950,0,0
492,518,950,0,0
493,519,950,0,0
494,520,950,0,0
495,521,950,0,0
496,522,950,0,0
497,523,950,0,0
498,524,950,0,0
499,525,950,0,0